mols dock_score ligand_efficiency
schrod_274732.sdf -9.38 -0.25351351351351353
schrod_288450.sdf -9.47 -0.2959375
schrod_290782.sdf -8.86 -0.36916666666666664
schrod_300805.sdf -9.11 -0.35038461538461535
schrod_309792.sdf -9.11 -0.32535714285714284
schrod_312650.sdf -9.89 -0.35321428571428576
schrod_319576.sdf -9.12 -0.33777777777777773
schrod_325258.sdf -8.83 -0.28483870967741937
schrod_327867.sdf -11.21 -0.24911111111111112
schrod_329657.sdf -10.39 -0.25341463414634147
schrod_333406.sdf -9.6 -0.25263157894736843
schrod_334544.sdf -10.29 -0.2781081081081081
schrod_334669.sdf -9.43 -0.21930232558139534
schrod_335171.sdf -9.17 -0.23512820512820512
schrod_335218.sdf -8.74 -0.23621621621621622
schrod_335400.sdf -8.91 -0.2344736842105263
schrod_335486.sdf -9.14 -0.2285
schrod_339375.sdf -9.22 -0.26342857142857146
schrod_339472.sdf -10.22 -0.24926829268292686
schrod_339501.sdf -9.92 -0.24195121951219511
schrod_339533.sdf -10.5 -0.25609756097560976
schrod_339554.sdf -8.95 -0.23552631578947367
schrod_339623.sdf -9.42 -0.22975609756097562
schrod_339646.sdf -8.71 -0.22333333333333336
schrod_339662.sdf -9.29 -0.23820512820512818
schrod_344021.sdf -9.6 -0.39999999999999997
schrod_352249.sdf -10.93 -0.39035714285714285
schrod_385124.sdf -8.61 -0.33115384615384613
schrod_387760.sdf -9.15 -0.31551724137931036
schrod_387784.sdf -9.24 -0.28875
schrod_388634.sdf -9.13 -0.30433333333333334
schrod_390936.sdf -9.82 -0.32733333333333337
schrod_392636.sdf -9.57 -0.30870967741935484
schrod_395320.sdf -9.42 -0.26166666666666666
schrod_395867.sdf -10.22 -0.3406666666666667
schrod_397570.sdf -9.27 -0.2726470588235294
schrod_399636.sdf -10.42 -0.2480952380952381
schrod_400000.sdf -8.75 -0.2916666666666667
schrod_402583.sdf -8.58 -0.2145
schrod_404080.sdf -8.89 -0.2778125
schrod_406974.sdf -8.83 -0.29433333333333334
schrod_410698.sdf -9.48 -0.22046511627906978
schrod_413495.sdf -9.54 -0.30774193548387097
schrod_414032.sdf -8.68 -0.248
schrod_417473.sdf -9.59 -0.274
schrod_424538.sdf -8.72 -0.20279069767441862
schrod_427766.sdf -8.83 -0.30448275862068963
schrod_430157.sdf -10.09 -0.23465116279069767
schrod_437091.sdf -8.77 -0.3132142857142857
schrod_438585.sdf -8.59 -0.2454285714285714
schrod_455477.sdf -8.7 -0.20714285714285713
schrod_471565.sdf -8.94 -0.26294117647058823
schrod_481019.sdf -8.77 -0.203953488372093
schrod_482261.sdf -9.14 -0.26882352941176474
schrod_482286.sdf -8.77 -0.2740625
schrod_484875.sdf -9.16 -0.23487179487179488
schrod_488594.sdf -9.53 -0.3529629629629629
schrod_488932.sdf -9.48 -0.29625
schrod_495933.sdf -8.75 -0.35
schrod_497117.sdf -9.95 -0.3015151515151515
schrod_500000.sdf -8.92 -0.3568
schrod_501798.sdf -8.71 -0.2903333333333334
schrod_502411.sdf -9.6 -0.3
schrod_507827.sdf -8.66 -0.36083333333333334
schrod_510508.sdf -10.57 -0.302
schrod_513517.sdf -8.81 -0.1915217391304348
schrod_514633.sdf -9.95 -0.27638888888888885
