Similarity;ChEMBL ID;Smiles
40,0000006;CHEMBL1375296;Cn1ccc(NC(=O)Nc2ccc(Cl)cc2)n1
57,62711763;CHEMBL211220;CSc1ccc(NC(=O)Nc2c(C(C)C)n(C)n(-c3cncnc3)c2=O)cc1
44,11764741;CHEMBL1882060;Cc1c(NC(=O)C(C)OC(=O)c2cc(Cl)ccc2O)c(=O)n(-c2ccccc2)n1C
41,50943458;CHEMBL4757245;O=C(Nc1ccc(Cl)cc1)Nc1cccc(Nc2ccccc2)c1
40,0000006;CHEMBL1521787;Cc1c(NC(=O)C(C)c2ccc(CC(C)C)cc2)c(=O)n(-c2ccccc2)n1C
41,93548262;CHEMBL1346629;Cc1ccc(S(=O)(=O)NC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1
54,38596606;CHEMBL211885;Cc1c(NC(=O)Nc2ccc(C(F)(F)F)cc2)c(=O)n(-c2ccccc2)n1C
55,3571403;CHEMBL377642;COc1ccc(NC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1
40,625;CHEMBL1894398;Cc1noc(C(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)c1Cl
41,26984179;CHEMBL1391308;Cc1c(NCc2cc(Cl)ccc2O)c(=O)n(-c2ccccc2)n1C
57,40740895;CHEMBL377969;Cc1c(NC(=O)Nc2ccc(Br)cc2)c(=O)n(-c2ccccc2)n1C
40,0000006;CHEMBL1553664;Cc1c(NC(=O)C(C)OC(=O)c2ncc(Cl)c(Cl)c2Cl)c(=O)n(-c2ccccc2)n1C
40,0000006;CHEMBL1602913;Cn1nccc1NC(=O)Nc1ccc(Cl)cc1
44,82758641;CHEMBL2133448;Cc1c(NC(=O)NCc2ccccc2)c(=O)n(-c2ccccc2)n1C
40,78947306;CHEMBL1572419;Cc1c(NC(=O)CSc2nnc(C(C)Oc3ccc(Cl)cc3)n2-c2ccccc2)c(=O)n(-c2ccccc2)n1C
51,66666508;CHEMBL1556097;CCCCc1ccc(NC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1
